Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
Unemployed,55+,Diploma,Tech ,Delhi,High,16.0,76886.0,11/28/2023
Unemployed,25-34,Ph.D,Healthcare,Bangalore,High,16.0,96100.0,11/29/2023
Employed,35-44,Diploma,Retail,Rural,High,16.0,76886.0,11/30/2023
Employed,18-24,Bachelor'S,Finance,Bangalore,High,26.0,72400.0,12/1/2023
Unemployed,55+,Phd,Retail,Delhi,Medium,16.0,143000.0,12/2/2023
Employed,35-44,Master,Health,Hyderabad,High,16.0,35700.0,12/3/2023
Employed,18-24,Bachelor'S,Retail,Suburban,High,9.0,76886.0,12/4/2023
Unemployed,18-24,Not Provided,Retail,Urban,High,13.0,8700.0,12/5/2023
Employed,25-34,Diploma,Technology,Not Provided,High,22.0,141800.0,12/6/2023
Unemployed,35-44,Not Provided,Health,Urban,Low,16.0,21500.0,12/7/2023
Unemployed,35-44,High School,Finance,Not Provided,Medium,4.0,126000.0,12/8/2023
Employed,18-24,Ph.D,Healthcare,Hyderabad,Medium,16.0,76886.0,12/9/2023
Employed,25-34,Masters,Retail,Not Provided,Medium,16.0,92700.0,12/10/2023
Unemployed,25-34,Phd,Retail,Urban,Moderate,16.0,76886.0,12/11/2023
Unemployed,25-34,Master, Fintech,Delhi,High,16.0,139900.0,12/12/2023
Employed,55+,Ph.D,Retail,Urban,High,16.0,26900.0,12/13/2023
Unemployed,18-24,Master,Tech ,Mumbai,Low,16.0,76886.0,12/14/2023
Employed,25-34,Bachelor'S,Retail,Urban,High,3.0,5400.0,12/15/2023
Unemployed,55+,High School,Finance,Not Provided,Low,16.0,81100.0,12/16/2023
Unemployed,55+,Bachelors,Education,Mumbai,Medium,16.0,76886.0,12/17/2023
Unemployed,45-54,Not Provided,Retail,Bangalore,High,14.0,139700.0,12/18/2023
Unemployed,45-54,Bachelor'S, Fintech,Suburban,Low,16.0,112900.0,12/19/2023
Employed,55+,Master,Retail,Mumbai,Moderate,30.0,109900.0,12/20/2023
Employed,18-24,High School,Finance,Suburban,Medium,16.0,112400.0,12/21/2023
Employed,18-24,Bachelors,Retail,Suburban,Moderate,26.0,108300.0,12/22/2023
Employed,18-24,Phd,Education,Delhi,High,16.0,71400.0,12/23/2023
Unemployed,18-24,Bachelors,Education,Urban,Moderate,16.0,17600.0,12/24/2023
Unemployed,18-24,Masters,Education,Suburban,Low,10.0,51000.0,12/25/2023
Unemployed,25-34,High School,Finance,Delhi,High,16.0,109800.0,12/26/2023
Unemployed,18-24,Masters,Finance,Mumbai,High,16.0,111300.0,12/27/2023
Employed,18-24,Master,Education,Not Provided,Medium,22.0,92900.0,12/28/2023
Employed,55+,Not Provided,Technology,Urban,High,24.0,28100.0,12/29/2023
Employed,35-44,Bachelor'S,Education,Suburban,Low,16.0,100400.0,12/30/2023
Employed,45-54,Phd,Finance,Suburban,High,30.0,76886.0,12/31/2023
Employed,25-34,Bachelors,Retail,Bangalore,Low,16.0,138600.0,1/1/2024
Unemployed,25-34,High School,Healthcare,Hyderabad,Moderate,11.0,76886.0,1/2/2024
Employed,18-24,Bachelors,Healthcare,Delhi,Moderate,30.0,40100.0,1/3/2024
Employed,55+,Bachelor'S,Health,Delhi,Moderate,16.0,104800.0,1/4/2024
Unemployed,35-44,Master,Retail,Bangalore,Low,7.0,95700.0,1/5/2024
Employed,18-24,High School,Finance,Hyderabad,High,16.0,36700.0,1/6/2024
Employed,18-24,High School,Retail,Bangalore,High,28.0,76886.0,1/7/2024
Unemployed,45-54,Ph.D,Education,Suburban,High,13.0,76886.0,1/8/2024
Unemployed,45-54,Diploma,Healthcare,Hyderabad,High,16.0,116000.0,1/9/2024
Unemployed,45-54,Master,Education,Rural,Moderate,2.0,29300.0,1/10/2024
Unemployed,18-24,High School,Retail,Bangalore,High,16.0,24700.0,1/11/2024
Employed,55+,Phd,Retail,Mumbai,Low,16.0,36200.0,1/12/2024
Unemployed,25-34,Masters,Education,Delhi,Medium,10.0,17800.0,1/13/2024
Unemployed,18-24,Master,Health,Urban,Medium,11.0,52900.0,1/14/2024
Unemployed,35-44,Masters,Retail,Not Provided,Low,16.0,141000.0,1/15/2024
Unemployed,45-54,High School,Retail,Rural,High,16.0,90300.0,1/16/2024
Employed,25-34,Not Provided,Finance,Urban,High,30.0,139000.0,1/17/2024
Employed,35-44,Bachelors,Technology,Bangalore,High,16.0,63200.0,1/18/2024
Unemployed,18-24,Ph.D,Tech ,Urban,Moderate,16.0,94400.0,1/19/2024
Unemployed,35-44,Ph.D,Technology,Delhi,Low,0.0,34800.0,1/20/2024
Employed,25-34,Master,Finance,Rural,High,16.0,61200.0,1/21/2024
Employed,35-44,Not Provided,Health,Rural,High,29.0,138400.0,1/22/2024
Employed,18-24,High School,Technology,Urban,Medium,16.0,97300.0,1/23/2024
Unemployed,18-24,High School,Healthcare,Mumbai,Moderate,29.0,64300.0,1/24/2024
Employed,25-34,Bachelor'S,Retail,Bangalore,Moderate,16.0,59100.0,1/25/2024
Unemployed,18-24,Masters,Retail,Suburban,High,19.0,92700.0,1/26/2024
Unemployed,25-34,Masters,Retail,Urban,Moderate,24.0,64900.0,1/27/2024
Unemployed,18-24,Masters,Tech ,Delhi,High,16.0,45800.0,1/28/2024
Employed,25-34,Masters,Retail,Urban,High,26.0,120000.0,1/29/2024
Employed,35-44,Not Provided,Tech ,Mumbai,High,11.0,134400.0,1/30/2024
Unemployed,25-34,Bachelor'S,Education,Bangalore,Low,1.0,106500.0,1/31/2024
Unemployed,55+,Master,Retail,Bangalore,High,16.0,140000.0,2/1/2024
Employed,18-24,Masters,Retail,Urban,Low,16.0,76886.0,2/2/2024
Employed,18-24,Master,Education,Delhi,Medium,16.0,76886.0,2/3/2024
Employed,45-54,Bachelor'S,Education,Hyderabad,Low,16.0,86300.0,2/4/2024
Unemployed,35-44,Phd,Retail,Suburban,Moderate,16.0,39500.0,2/5/2024
Unemployed,25-34,Not Provided,Retail,Delhi,Medium,16.0,71000.0,2/6/2024
Unemployed,18-24,Not Provided,Health,Not Provided,Low,29.0,76886.0,2/7/2024
Employed,18-24,Master,Healthcare,Delhi,Moderate,16.0,131000.0,2/8/2024
Employed,18-24,Ph.D,Education,Mumbai,High,16.0,42600.0,2/9/2024
Employed,18-24,Bachelor'S,Technology,Mumbai,High,10.0,86700.0,2/10/2024
Unemployed,18-24,Bachelor'S,Education,Urban,High,16.0,76886.0,2/11/2024
Employed,25-34,Masters,Retail,Rural,Moderate,16.0,21500.0,2/12/2024
Unemployed,18-24,Diploma,Retail,Rural,Low,15.0,100400.0,2/13/2024
Employed,45-54,Master,Technology,Mumbai,High,16.0,76886.0,2/14/2024
Employed,45-54,Ph.D,Retail,Rural,High,15.0,111300.0,2/15/2024
Employed,45-54,High School, Fintech,Rural,High,16.0,76886.0,2/16/2024
Employed,18-24,Masters,Finance,Urban,High,23.0,100900.0,2/17/2024
Employed,25-34,Not Provided,Education,Delhi,High,16.0,36600.0,2/18/2024
Unemployed,18-24,Ph.D,Retail,Suburban,High,5.0,46300.0,2/19/2024
Employed,25-34,Ph.D,Tech ,Suburban,Medium,19.0,76886.0,2/20/2024
Unemployed,25-34,Phd,Tech ,Urban,Medium,16.0,76886.0,2/21/2024
Employed,18-24,Masters,Tech ,Rural,Low,16.0,115600.0,2/22/2024
Unemployed,45-54,Phd,Retail,Not Provided,Low,16.0,76886.0,2/23/2024
Unemployed,18-24,High School,Healthcare,Suburban,Moderate,30.0,8600.0,2/24/2024
Employed,35-44,High School,Education,Bangalore,High,16.0,117600.0,2/25/2024
Employed,35-44,High School,Finance,Bangalore,Low,16.0,12400.0,2/26/2024
Employed,45-54,Bachelors,Education,Hyderabad,High,5.0,119200.0,2/27/2024
Unemployed,18-24,Master,Tech ,Hyderabad,High,16.0,109300.0,2/28/2024
Employed,45-54,Master,Retail,Hyderabad,Moderate,16.0,84700.0,2/29/2024
Employed,18-24,Bachelors, Fintech,Urban,Low,16.0,9100.0,3/1/2024
Employed,18-24,Bachelors,Education,Urban,High,9.0,88800.0,3/2/2024
Unemployed,25-34,Bachelor'S,Tech ,Hyderabad,Moderate,2.0,16000.0,3/3/2024
Employed,25-34,High School,Retail,Not Provided,Low,16.0,58000.0,3/4/2024
Unemployed,18-24,Master,Education,Suburban,Low,6.0,18300.0,3/5/2024
Unemployed,55+,Bachelor'S,Tech ,Rural,Medium,16.0,76886.0,3/6/2024
Unemployed,18-24,Bachelor'S,Healthcare,Suburban,High,16.0,76886.0,3/7/2024
Employed,18-24,High School, Fintech,Not Provided,High,16.0,76886.0,3/8/2024
Unemployed,18-24,High School,Education,Hyderabad,Low,20.0,14700.0,3/9/2024
Employed,18-24,High School,Retail,Bangalore,Low,21.0,76886.0,3/10/2024
Employed,18-24,High School,Healthcare,Urban,Medium,16.0,117800.0,3/11/2024
Unemployed,55+,Masters, Fintech,Bangalore,Moderate,16.0,50800.0,3/12/2024
Unemployed,55+,Diploma,Health,Delhi,High,4.0,73300.0,3/13/2024
Employed,25-34,Master,Health,Bangalore,Low,16.0,17700.0,3/14/2024
Unemployed,25-34,Masters, Fintech,Urban,Moderate,3.0,76886.0,3/15/2024
Employed,45-54,Bachelors,Retail,Hyderabad,High,23.0,120500.0,3/16/2024
Employed,25-34,Phd, Fintech,Urban,Low,16.0,15000.0,3/17/2024
Employed,18-24,Master,Technology,Mumbai,Low,14.0,21300.0,3/18/2024
Unemployed,45-54,Bachelors,Retail,Delhi,Low,16.0,116000.0,3/19/2024
Employed,18-24,Masters,Technology,Suburban,Low,16.0,76886.0,3/20/2024
Unemployed,18-24,Not Provided,Finance,Rural,High,7.0,121300.0,3/21/2024
Employed,18-24,Diploma,Retail,Delhi,Medium,3.0,103300.0,3/22/2024
Employed,25-34,Phd,Technology,Urban,High,29.0,90500.0,3/23/2024
Employed,45-54,High School,Healthcare,Mumbai,High,4.0,131700.0,3/24/2024
Employed,25-34,High School,Retail,Bangalore,Medium,16.0,20600.0,3/25/2024
Employed,25-34,Bachelor'S,Health,Mumbai,High,16.0,135400.0,3/26/2024
Unemployed,25-34,Phd,Retail,Urban,High,16.0,47700.0,3/27/2024
Employed,18-24,High School,Tech ,Bangalore,High,19.0,130300.0,3/28/2024
Employed,25-34,High School,Health,Urban,High,29.0,144500.0,3/29/2024
Unemployed,18-24,High School,Retail,Mumbai,Moderate,16.0,106600.0,3/30/2024
Employed,18-24,Bachelors,Finance,Delhi,High,30.0,75200.0,3/31/2024
Unemployed,35-44,Masters,Tech ,Suburban,High,16.0,5100.0,4/1/2024
Employed,35-44,Phd,Health,Hyderabad,Low,7.0,145100.0,4/2/2024
Employed,25-34,High School,Healthcare,Not Provided,Moderate,16.0,57500.0,4/3/2024
Employed,25-34,Master, Fintech,Urban,High,16.0,74500.0,4/4/2024
Unemployed,55+,Master, Fintech,Suburban,High,16.0,105900.0,4/5/2024
Employed,18-24,Diploma,Tech ,Mumbai,High,17.0,28200.0,4/6/2024
Unemployed,45-54,Phd,Technology,Delhi,Medium,16.0,84500.0,4/7/2024
Unemployed,55+,High School,Healthcare,Bangalore,High,16.0,147100.0,4/8/2024
Employed,25-34,Bachelor'S,Tech ,Suburban,High,17.0,10500.0,4/9/2024
Employed,45-54,Not Provided,Finance,Urban,Low,16.0,86900.0,4/10/2024
Unemployed,25-34,Bachelor'S, Fintech,Hyderabad,Low,16.0,105200.0,4/11/2024
Employed,35-44,Not Provided,Technology,Urban,High,16.0,76886.0,4/12/2024
Employed,55+,Ph.D,Health,Urban,Moderate,16.0,134500.0,4/13/2024
Employed,35-44,Not Provided,Education,Rural,High,16.0,147200.0,4/14/2024
Unemployed,35-44,Phd,Retail,Not Provided,Low,16.0,81500.0,4/15/2024
Employed,55+,Bachelor'S,Tech ,Mumbai,Moderate,5.0,16200.0,4/16/2024
Employed,35-44,High School,Technology,Bangalore,Moderate,20.0,136000.0,4/17/2024
Employed,18-24,High School, Fintech,Delhi,High,16.0,76886.0,4/18/2024
Unemployed,18-24,Not Provided,Retail,Bangalore,High,16.0,29800.0,4/19/2024
Unemployed,25-34,Diploma,Retail,Bangalore,High,5.0,76886.0,4/20/2024
Employed,55+,Ph.D,Retail,Hyderabad,Moderate,22.0,115100.0,4/21/2024
Employed,45-54,Not Provided,Health,Suburban,Moderate,0.0,75100.0,4/22/2024
Employed,25-34,Bachelor'S,Health,Urban,High,17.0,98200.0,4/23/2024
Unemployed,55+,Ph.D,Retail,Suburban,High,18.0,86000.0,4/24/2024
Employed,45-54,Bachelor'S,Education,Not Provided,High,6.0,29900.0,4/25/2024
Employed,25-34,Bachelors,Health,Not Provided,Low,1.0,114500.0,4/26/2024
Unemployed,45-54,Phd,Technology,Urban,Moderate,25.0,76886.0,4/27/2024
Unemployed,35-44,Bachelors,Technology,Not Provided,Moderate,16.0,67500.0,4/28/2024
Unemployed,18-24,Diploma,Finance,Not Provided,High,16.0,149000.0,4/29/2024
Employed,18-24,Ph.D,Health,Urban,High,26.0,6800.0,4/30/2024
Employed,25-34,Bachelor'S, Fintech,Bangalore,High,26.0,64900.0,5/1/2024
Unemployed,18-24,Bachelors,Retail,Urban,High,7.0,146300.0,5/2/2024
Unemployed,35-44,Bachelors,Healthcare,Suburban,Moderate,16.0,55600.0,5/3/2024
Employed,18-24,Diploma,Finance,Urban,Low,16.0,76886.0,5/4/2024
Employed,18-24,Diploma,Retail,Not Provided,High,16.0,76886.0,5/5/2024
Employed,18-24,Bachelors,Finance,Mumbai,Low,29.0,51100.0,5/6/2024
Unemployed,35-44,Masters,Retail,Urban,High,16.0,11000.0,5/7/2024
Employed,55+,Phd,Tech ,Urban,Medium,19.0,62800.0,5/8/2024
Unemployed,18-24,Bachelors,Health,Delhi,Medium,16.0,76886.0,5/9/2024
Employed,18-24,Bachelor'S,Technology,Urban,High,26.0,46000.0,5/10/2024
Employed,18-24,Masters,Education,Urban,Moderate,24.0,76886.0,5/11/2024
Employed,55+,Masters,Tech ,Mumbai,Moderate,0.0,105500.0,5/12/2024
Employed,18-24,Bachelor'S,Finance,Suburban,High,16.0,62600.0,5/13/2024
Employed,25-34,High School,Retail,Urban,High,16.0,60200.0,5/14/2024
Unemployed,55+,Bachelors,Retail,Suburban,Low,5.0,87200.0,5/15/2024
Employed,35-44,Phd,Retail,Mumbai,High,16.0,118000.0,5/16/2024
Unemployed,18-24,Ph.D,Healthcare,Urban,High,16.0,76886.0,5/17/2024
Employed,55+,Diploma,Education,Urban,Low,5.0,17400.0,5/18/2024
Employed,25-34,Ph.D, Fintech,Urban,High,27.0,76886.0,5/19/2024
Employed,25-34,Ph.D,Health,Hyderabad,Medium,10.0,76886.0,5/20/2024
Employed,25-34,Ph.D,Healthcare,Mumbai,High,11.0,137600.0,5/21/2024
Employed,18-24,Ph.D,Health,Rural,Low,14.0,76886.0,5/22/2024
Employed,18-24,Not Provided,Health,Rural,High,16.0,68800.0,5/23/2024
Employed,18-24,Bachelors,Retail,Urban,High,16.0,107000.0,5/24/2024
Employed,45-54,High School,Retail,Urban,Low,7.0,63500.0,5/25/2024
Unemployed,18-24,High School,Retail,Bangalore,Low,0.0,47400.0,5/26/2024
Employed,18-24,Bachelor'S, Fintech,Urban,Medium,3.0,99800.0,5/27/2024
Employed,35-44,Masters,Technology,Suburban,Medium,23.0,34900.0,5/28/2024
Employed,35-44,Ph.D, Fintech,Bangalore,Medium,16.0,82800.0,5/29/2024
Employed,18-24,Ph.D,Technology,Mumbai,High,27.0,107800.0,5/30/2024
Unemployed,18-24,Bachelor'S,Education,Urban,Low,16.0,54500.0,5/31/2024
Employed,18-24,Ph.D,Retail,Urban,Moderate,16.0,47100.0,6/1/2024
Employed,18-24,Diploma,Retail,Urban,Low,1.0,15000.0,6/2/2024
Employed,18-24,Diploma,Retail,Delhi,Low,16.0,94500.0,6/3/2024
Unemployed,18-24,Ph.D,Tech ,Not Provided,High,16.0,27200.0,6/4/2024
Unemployed,18-24,Master,Retail,Suburban,Low,18.0,100400.0,6/5/2024
Unemployed,18-24,Phd,Tech ,Suburban,High,5.0,34100.0,6/6/2024
Unemployed,55+,Not Provided,Retail,Mumbai,Medium,16.0,76886.0,6/7/2024
Unemployed,45-54,High School,Education,Not Provided,Moderate,16.0,8000.0,6/8/2024
Employed,45-54,Not Provided,Technology,Suburban,Low,16.0,76886.0,6/9/2024
Unemployed,35-44,Ph.D,Technology,Hyderabad,Low,16.0,130500.0,6/10/2024
Unemployed,35-44,Masters, Fintech,Urban,Low,16.0,122900.0,6/11/2024
Unemployed,55+,Bachelor'S,Healthcare,Mumbai,High,4.0,93400.0,6/12/2024
Employed,35-44,Not Provided,Retail,Urban,Medium,21.0,77700.0,6/13/2024
Unemployed,45-54,Masters,Tech ,Hyderabad,Low,16.0,52400.0,6/14/2024
Employed,18-24,Bachelors, Fintech,Rural,Low,27.0,76886.0,6/15/2024
Unemployed,18-24,High School,Tech ,Hyderabad,Moderate,13.0,37300.0,6/16/2024
Unemployed,55+,Masters,Education,Urban,High,19.0,96700.0,6/17/2024
Employed,55+,Bachelor'S,Retail,Urban,High,16.0,8200.0,6/18/2024
Employed,18-24,Phd,Health,Urban,Low,16.0,76886.0,6/19/2024
Unemployed,55+,Not Provided, Fintech,Urban,High,11.0,72100.0,6/20/2024
Employed,55+,Not Provided,Technology,Not Provided,Moderate,16.0,9800.0,6/21/2024
Unemployed,25-34,Diploma,Education,Bangalore,High,16.0,24600.0,6/22/2024
Unemployed,55+,Diploma,Education,Bangalore,High,16.0,133700.0,6/23/2024
Employed,18-24,High School,Retail,Bangalore,Moderate,16.0,21400.0,6/24/2024
Employed,18-24,Phd,Retail,Delhi,Medium,0.0,138700.0,6/25/2024
Employed,45-54,Not Provided, Fintech,Mumbai,High,16.0,125500.0,6/26/2024
Employed,18-24,High School,Education,Rural,Medium,16.0,87400.0,6/27/2024
Unemployed,18-24,Masters,Healthcare,Hyderabad,Low,13.0,133300.0,6/28/2024
Employed,45-54,Bachelor'S, Fintech,Mumbai,High,28.0,24100.0,6/29/2024
Employed,25-34,Not Provided,Finance,Suburban,Moderate,25.0,64600.0,6/30/2024
Employed,25-34,Bachelors,Tech ,Urban,Low,23.0,108700.0,7/1/2024
Employed,18-24,Master, Fintech,Not Provided,Moderate,16.0,38500.0,7/2/2024
Employed,55+,Bachelor'S,Tech ,Delhi,Medium,28.0,40400.0,7/3/2024
Unemployed,18-24,Bachelor'S,Health,Bangalore,Low,20.0,17200.0,7/4/2024
Unemployed,18-24,High School,Finance,Bangalore,Medium,16.0,132900.0,7/5/2024
Unemployed,35-44,Diploma,Education,Rural,High,13.0,102800.0,7/6/2024
Employed,55+,Bachelors,Finance,Hyderabad,High,25.0,95600.0,7/7/2024
Unemployed,25-34,Not Provided,Finance,Rural,Moderate,16.0,69500.0,7/8/2024
Employed,45-54,Bachelors,Health,Urban,Moderate,10.0,86000.0,7/9/2024
Employed,18-24,Masters,Healthcare,Urban,High,3.0,140800.0,7/10/2024
Unemployed,55+,High School,Technology,Hyderabad,High,16.0,84700.0,7/11/2024
Unemployed,25-34,Ph.D,Finance,Not Provided,High,16.0,56600.0,7/12/2024
Employed,35-44,Not Provided,Retail,Delhi,High,22.0,66700.0,7/13/2024
Unemployed,55+,Masters,Finance,Bangalore,Medium,16.0,96400.0,7/14/2024
Employed,18-24,Not Provided,Retail,Rural,High,0.0,101400.0,7/15/2024
Employed,18-24,Not Provided, Fintech,Bangalore,High,21.0,37300.0,7/16/2024
Unemployed,35-44,Phd,Retail,Bangalore,High,16.0,124400.0,7/17/2024
Unemployed,18-24,Bachelors,Technology,Bangalore,High,16.0,128000.0,7/18/2024
Unemployed,45-54,Diploma,Retail,Rural,Low,16.0,76886.0,7/19/2024
Employed,18-24,Master,Health,Hyderabad,Medium,16.0,34700.0,7/20/2024
Unemployed,45-54,High School,Tech ,Urban,Moderate,16.0,34700.0,7/21/2024
Unemployed,45-54,Bachelors,Technology,Delhi,Low,7.0,76886.0,7/22/2024
Unemployed,45-54,High School,Health,Hyderabad,Low,3.0,76886.0,7/23/2024
Unemployed,18-24,Bachelor'S,Health,Urban,Low,16.0,117800.0,7/24/2024
Employed,25-34,Phd,Retail,Urban,Medium,16.0,69500.0,7/25/2024
Employed,18-24,Ph.D,Retail,Mumbai,Moderate,18.0,148400.0,7/26/2024
Unemployed,25-34,Phd,Retail,Urban,Low,16.0,76886.0,7/27/2024
Employed,25-34,High School,Retail,Rural,High,16.0,61600.0,7/28/2024
Unemployed,18-24,Phd,Education,Not Provided,Low,16.0,83100.0,7/29/2024
Employed,55+,Masters,Education,Mumbai,Low,16.0,76886.0,7/30/2024
Unemployed,25-34,Bachelor'S, Fintech,Rural,Moderate,23.0,140600.0,7/31/2024
Employed,18-24,Bachelors,Education,Hyderabad,Low,28.0,76886.0,8/1/2024
Unemployed,25-34,Masters,Retail,Urban,Low,13.0,57100.0,8/2/2024
Employed,55+,Master,Retail,Suburban,High,4.0,97800.0,8/3/2024
Employed,18-24,Phd,Retail,Hyderabad,Moderate,0.0,86600.0,8/4/2024
Employed,45-54,Bachelors,Health,Hyderabad,Low,16.0,76886.0,8/5/2024
Unemployed,25-34,Phd,Health,Urban,High,16.0,76886.0,8/6/2024
Employed,18-24,Masters,Health,Urban,Low,27.0,103400.0,8/7/2024
Unemployed,55+,Not Provided,Retail,Hyderabad,High,10.0,88800.0,8/8/2024
Employed,45-54,Not Provided,Education,Urban,Low,29.0,133800.0,8/9/2024
Employed,25-34,Not Provided,Health,Urban,High,16.0,36200.0,8/10/2024
Unemployed,18-24,High School, Fintech,Mumbai,Low,16.0,76886.0,8/11/2024
Employed,18-24,Masters,Finance,Urban,Medium,16.0,103800.0,8/12/2024
Unemployed,18-24,High School,Health,Rural,Low,1.0,109300.0,8/13/2024
Unemployed,25-34,Master,Technology,Hyderabad,High,28.0,73000.0,8/14/2024
Unemployed,18-24,Master,Healthcare,Suburban,High,16.0,102400.0,8/15/2024
Unemployed,45-54,Master,Health,Delhi,Low,16.0,140300.0,8/16/2024
Employed,35-44,High School,Health,Urban,High,16.0,32800.0,8/17/2024
Employed,45-54,Not Provided,Healthcare,Delhi,Medium,16.0,132400.0,8/18/2024
Employed,55+,Phd,Retail,Hyderabad,High,16.0,15200.0,8/19/2024
Unemployed,45-54,Bachelors,Retail,Urban,High,16.0,60600.0,8/20/2024
Unemployed,45-54,Diploma,Retail,Urban,High,19.0,70900.0,8/21/2024
Employed,25-34,Masters,Healthcare,Hyderabad,Low,11.0,132100.0,8/22/2024
Employed,45-54,High School,Finance,Bangalore,Moderate,16.0,146900.0,8/23/2024
Unemployed,35-44,Masters,Healthcare,Delhi,Low,18.0,74600.0,8/24/2024
Employed,18-24,Diploma, Fintech,Delhi,High,16.0,145600.0,8/25/2024
Employed,18-24,Diploma,Technology,Delhi,High,16.0,76886.0,8/26/2024
Unemployed,35-44,Phd,Tech ,Hyderabad,Low,29.0,30700.0,8/27/2024
Employed,45-54,Phd,Tech ,Suburban,High,15.0,76886.0,8/28/2024
Employed,55+,Phd,Technology,Suburban,High,16.0,11200.0,8/29/2024
Unemployed,18-24,Masters,Retail,Bangalore,Medium,16.0,18100.0,8/30/2024
Employed,18-24,High School,Education,Urban,High,16.0,43100.0,8/31/2024
Unemployed,45-54,Phd,Technology,Urban,Medium,16.0,62600.0,9/1/2024
Unemployed,25-34,Master,Retail,Rural,High,19.0,137500.0,9/2/2024
Employed,18-24,Bachelors,Healthcare,Suburban,Medium,7.0,87900.0,9/3/2024
Employed,18-24,Bachelors,Retail,Rural,High,28.0,76886.0,9/4/2024
Employed,25-34,High School, Fintech,Rural,Medium,16.0,76886.0,9/5/2024
Employed,25-34,Ph.D,Retail,Suburban,Low,16.0,118800.0,9/6/2024
Unemployed,25-34,High School,Education,Bangalore,High,21.0,144100.0,9/7/2024
Employed,18-24,Bachelor'S,Health,Mumbai,Low,9.0,76886.0,9/8/2024
Unemployed,18-24,Not Provided,Technology,Suburban,Moderate,22.0,49500.0,9/9/2024
Unemployed,25-34,Diploma,Health,Not Provided,Low,29.0,117500.0,9/10/2024
Unemployed,18-24,High School,Technology,Delhi,High,16.0,109800.0,9/11/2024
Employed,18-24,Not Provided,Finance,Urban,High,16.0,65500.0,9/12/2024
Employed,45-54,Phd,Technology,Urban,Low,14.0,30000.0,9/13/2024
Employed,18-24,Masters,Education,Rural,Medium,16.0,62100.0,9/14/2024
Employed,25-34,Master,Retail,Urban,Low,14.0,104400.0,9/15/2024
Unemployed,18-24,Phd,Education,Delhi,Low,16.0,116100.0,9/16/2024
Employed,18-24,High School,Tech ,Hyderabad,High,16.0,58700.0,9/17/2024
Unemployed,18-24,Master,Tech ,Not Provided,Moderate,16.0,19000.0,9/18/2024
Employed,18-24,Diploma,Retail,Urban,Low,14.0,143200.0,9/19/2024
Employed,25-34,Not Provided,Retail,Bangalore,Low,16.0,10100.0,9/20/2024
Employed,35-44,Bachelor'S,Health,Hyderabad,Medium,22.0,147100.0,9/21/2024
Employed,45-54,Not Provided,Healthcare,Delhi,High,16.0,76886.0,9/22/2024
Employed,25-34,Bachelors,Tech ,Hyderabad,High,16.0,87800.0,9/23/2024
Employed,55+,High School,Tech ,Rural,Low,16.0,75000.0,9/24/2024
Unemployed,25-34,Bachelor'S, Fintech,Bangalore,Medium,14.0,51800.0,9/25/2024
Employed,18-24,Bachelors,Education,Not Provided,Moderate,16.0,76886.0,9/26/2024
Employed,18-24,High School,Tech ,Hyderabad,High,16.0,96300.0,9/27/2024
Unemployed,35-44,Phd,Retail,Delhi,High,16.0,64500.0,9/28/2024
Unemployed,55+,High School,Tech ,Delhi,High,9.0,76886.0,9/29/2024
Employed,18-24,Masters,Retail,Urban,Medium,17.0,76886.0,9/30/2024
Employed,18-24,Not Provided,Health,Suburban,High,15.0,30100.0,10/1/2024
Unemployed,45-54,Ph.D,Tech ,Suburban,Low,16.0,101500.0,10/2/2024
Unemployed,25-34,High School,Retail,Hyderabad,Medium,18.0,86300.0,10/3/2024
Employed,55+,High School,Finance,Not Provided,High,16.0,76886.0,10/4/2024
Unemployed,18-24,Master,Finance,Hyderabad,High,16.0,90400.0,10/5/2024
Unemployed,35-44,Bachelor'S,Tech ,Mumbai,Low,16.0,118500.0,10/6/2024
Employed,18-24,Not Provided,Education,Delhi,High,2.0,23900.0,10/7/2024
Unemployed,25-34,Diploma,Retail,Mumbai,Low,10.0,76886.0,10/8/2024
Employed,18-24,Bachelors,Healthcare,Bangalore,Moderate,23.0,113800.0,10/9/2024
Unemployed,55+,Master,Technology,Delhi,Low,8.0,132700.0,10/10/2024
Employed,25-34,Masters,Tech ,Bangalore,High,2.0,26800.0,10/11/2024
Unemployed,18-24,Masters,Retail,Rural,Moderate,10.0,52200.0,10/12/2024
Employed,35-44,High School,Healthcare,Mumbai,High,16.0,55000.0,10/13/2024
Unemployed,18-24,Masters,Tech ,Delhi,High,30.0,99500.0,10/14/2024
Employed,45-54,Master,Tech ,Not Provided,High,16.0,104400.0,10/15/2024
Employed,18-24,Phd,Healthcare,Urban,High,7.0,99600.0,10/16/2024
Employed,25-34,Bachelors,Healthcare,Urban,Moderate,26.0,112300.0,10/17/2024
Employed,18-24,Diploma,Retail,Rural,Moderate,16.0,76886.0,10/18/2024
Employed,55+,Diploma, Fintech,Not Provided,High,9.0,9500.0,10/19/2024
Employed,18-24,Master,Retail,Rural,High,16.0,16400.0,10/20/2024
Employed,35-44,Not Provided,Retail,Hyderabad,Medium,0.0,147800.0,10/21/2024
Unemployed,55+,Bachelor'S,Health,Hyderabad,High,2.0,76886.0,10/22/2024
Unemployed,25-34,Ph.D,Finance,Urban,High,26.0,43900.0,10/23/2024
Unemployed,25-34,Diploma,Technology,Rural,Medium,16.0,76886.0,10/24/2024
